,timestamp,count,in_china
11460,2016-09-14,92,1
11461,2016-09-14,81,1
11463,2016-09-14,110,1
11464,2016-09-14,128,1
11466,2016-09-14,117,1
11469,2016-09-14,94,1
11470,2016-09-14,104,1
11471,2016-09-14,102,1
11472,2016-09-14,98,1
11473,2016-09-14,116,1
11474,2016-09-14,82,1
11475,2016-09-14,116,1
11476,2016-09-14,119,1
11477,2016-09-14,114,1
11478,2016-09-14,114,1
11479,2016-09-14,117,1
11480,2016-09-14,116,1
11481,2016-09-14,95,1
11482,2016-09-14,104,1
11484,2016-09-14,106,1
11485,2016-09-14,91,1
11486,2016-09-14,97,1
11490,2016-09-14,103,1
11491,2016-09-14,97,1
11492,2016-09-14,89,1
11493,2016-09-14,87,1
11494,2016-09-14,87,1
11495,2016-09-14,85,1
11496,2016-09-14,93,1
11497,2016-09-14,96,1
11498,2016-09-14,92,1
11499,2016-09-14,95,1
11500,2016-09-14,98,1
11501,2016-09-14,99,1
11502,2016-09-14,126,1
11503,2016-09-14,124,1
11505,2016-09-14,107,1
11517,2016-09-14,119,1
11519,2016-09-14,102,1
11520,2016-09-14,97,1
11522,2016-09-14,104,1
11524,2016-09-14,99,1
11525,2016-09-14,109,1
11526,2016-09-14,98,1
11527,2016-09-14,123,1
11528,2016-09-14,113,1
11530,2016-09-14,93,1
11531,2016-09-14,116,1
11532,2016-09-14,114,1
11533,2016-09-14,111,1
11534,2016-09-14,113,1
11535,2016-09-14,109,1
11536,2016-09-14,111,1
11537,2016-09-14,111,1
11538,2016-09-14,102,1
11539,2016-09-14,111,1
11540,2016-09-14,111,1
11541,2016-09-14,110,1
11542,2016-09-14,111,1
11543,2016-09-14,111,1
11544,2016-09-14,111,1
11545,2016-09-14,109,1
11547,2016-09-14,102,1
11551,2016-09-15,96,1
11553,2016-09-15,103,1
11560,2016-09-15,102,1
11563,2016-09-15,112,1
11574,2016-09-15,119,1
11577,2016-09-15,91,1
11578,2016-09-15,86,1
11584,2016-09-15,117,1
11585,2016-09-15,105,1
11590,2016-09-15,116,1
11592,2016-09-15,94,1
11594,2016-09-15,119,1
11595,2016-09-15,116,1
11596,2016-09-15,99,1
11601,2016-09-15,91,1
11603,2016-09-15,113,1
11604,2016-09-15,117,1
11614,2016-09-15,81,1
11623,2016-09-15,112,1
11624,2016-09-15,111,1
11629,2016-09-15,144,1
11641,2016-09-15,96,1
